year,open_price,close_price,price_change,annual_return_pct,source
1921,76.129997,80.800003,4.670006,6.134000,TNI legacy historical data
1922,80.800003,98.169998,17.369995,21.498000,TNI legacy historical data
1923,98.169998,95.519997,-2.650001,-2.699000,TNI legacy historical data
1924,95.519997,120.510002,24.990005,26.162000,TNI legacy historical data
1925,120.510002,156.660004,36.150002,29.998000,TNI legacy historical data
1926,156.660004,157.199997,0.539993,0.345000,TNI legacy historical data
1927,157.199997,200.699997,43.500000,27.672000,TNI legacy historical data
1928,200.699997,300.000000,99.300003,49.477000,TNI legacy historical data
1929,300.000000,248.479996,-51.520004,-17.173000,TNI legacy historical data
1930,248.479996,164.580002,-83.899994,-33.765000,TNI legacy historical data
1931,164.580002,77.900002,-86.680000,-52.667000,TNI legacy historical data
1932,77.900002,60.259998,-17.640004,-22.644000,TNI legacy historical data
1933,60.259998,98.669998,38.410000,63.740000,TNI legacy historical data
1934,98.669998,104.040001,5.370003,5.442000,TNI legacy historical data
1935,104.040001,144.130005,40.090004,38.533000,TNI legacy historical data
1936,144.130005,179.899994,35.769989,24.818000,TNI legacy historical data
1937,179.899994,120.849998,-59.049996,-32.824000,TNI legacy historical data
1938,120.849998,154.360001,33.510003,27.729000,TNI legacy historical data
1939,154.360001,149.990005,-4.369996,-2.831000,TNI legacy historical data
1940,149.990005,131.130005,-18.860000,-12.574000,TNI legacy historical data
1941,131.130005,110.959999,-20.170006,-15.382000,TNI legacy historical data
1942,110.959999,119.400002,8.440003,7.606000,TNI legacy historical data
1943,119.400002,135.889999,16.489997,13.811000,TNI legacy historical data
1944,135.889999,151.929993,16.039994,11.804000,TNI legacy historical data
1945,151.929993,192.910004,40.980011,26.973000,TNI legacy historical data
1946,192.910004,177.199997,-15.710007,-8.144000,TNI legacy historical data
1947,177.199997,181.160004,3.960007,2.235000,TNI legacy historical data
1948,181.160004,177.300003,-3.860001,-2.131000,TNI legacy historical data
1949,177.300003,200.520004,23.220001,13.096000,TNI legacy historical data
1950,200.520004,235.419998,34.899994,17.405000,TNI legacy historical data
1951,235.419998,269.230011,33.810013,14.362000,TNI legacy historical data
1952,269.230011,291.899994,22.669983,8.420000,TNI legacy historical data
1953,291.899994,280.899994,-11.000000,-3.768000,TNI legacy historical data
1954,280.899994,404.390015,123.490021,43.962000,TNI legacy historical data
1955,404.390015,488.399994,84.009979,20.774000,TNI legacy historical data
1956,488.399994,499.470001,11.070007,2.267000,TNI legacy historical data
1957,499.470001,435.690002,-63.779999,-12.770000,TNI legacy historical data
1958,435.690002,583.650024,147.960022,33.960000,TNI legacy historical data
1959,583.650024,679.359985,95.709961,16.399000,TNI legacy historical data
1960,679.359985,615.890015,-63.469970,-9.343000,TNI legacy historical data
1961,615.890015,731.140015,115.250000,18.713000,TNI legacy historical data
1962,731.140015,652.099976,-79.040039,-10.811000,TNI legacy historical data
1963,652.099976,762.950012,110.850036,16.999000,TNI legacy historical data
1964,762.950012,874.130005,111.179993,14.572000,TNI legacy historical data
1965,874.130005,969.260010,95.130005,10.883000,TNI legacy historical data
1966,969.260010,785.690002,-183.570008,-18.939000,TNI legacy historical data
1967,785.690002,905.109985,119.419983,15.199000,TNI legacy historical data
1968,905.109985,943.750000,38.640015,4.269000,TNI legacy historical data
1969,943.750000,800.359985,-143.390015,-15.194000,TNI legacy historical data
1970,800.359985,838.919983,38.559998,4.818000,TNI legacy historical data
1971,838.919983,890.200012,51.280029,6.113000,TNI legacy historical data
1972,890.200012,1020.020020,129.820008,14.583000,TNI legacy historical data
1973,1020.020020,850.859985,-169.160035,-16.584000,TNI legacy historical data
1974,850.859985,616.239990,-234.619995,-27.574000,TNI legacy historical data
1975,616.239990,852.409973,236.169983,38.324000,TNI legacy historical data
1976,852.409973,1004.650024,152.240051,17.860000,TNI legacy historical data
1977,1004.650024,831.169983,-173.480041,-17.268000,TNI legacy historical data
1978,831.169983,805.010010,-26.159973,-3.147000,TNI legacy historical data
1979,805.010010,838.739990,33.729980,4.190000,TNI legacy historical data
1980,838.739990,963.989990,125.250000,14.933000,TNI legacy historical data
1981,963.989990,875.000000,-88.989990,-9.231000,TNI legacy historical data
1982,875.000000,1046.540039,171.540039,19.605000,TNI legacy historical data
1983,1046.540039,1258.640015,212.099976,20.267000,TNI legacy historical data
1984,1258.640015,1211.569946,-47.070069,-3.740000,TNI legacy historical data
1985,1211.569946,1546.670044,335.100098,27.658000,TNI legacy historical data
1986,1546.670044,1895.949951,349.279907,22.583000,TNI legacy historical data
1987,1895.949951,1938.829956,42.880005,2.262000,TNI legacy historical data
1988,1938.829956,2168.570068,229.740112,11.849000,TNI legacy historical data
1989,2168.570068,2753.199951,584.629883,26.959000,TNI legacy historical data
1990,2753.199951,2633.659912,-119.540039,-4.342000,TNI legacy historical data
1991,2633.659912,3168.830078,535.170166,20.320000,TNI legacy historical data
1992,3168.830078,3301.110107,132.280029,4.174000,TNI legacy historical data
1993,3301.110107,3754.090088,452.979980,13.722050,Yahoo Finance (^DJI)
1994,3754.090088,3834.439941,80.349854,2.140328,Yahoo Finance (^DJI)
1995,3834.439941,5117.120117,1282.680176,33.451565,Yahoo Finance (^DJI)
1996,5117.120117,6448.270020,1331.149902,26.013654,Yahoo Finance (^DJI)
1997,6448.270020,7908.299805,1460.029785,22.642194,Yahoo Finance (^DJI)
1998,7908.299805,9181.429688,1273.129883,16.098655,Yahoo Finance (^DJI)
1999,9181.429688,11497.120117,2315.690430,25.221458,Yahoo Finance (^DJI)
2000,11497.120117,10787.990234,-709.129883,-6.167891,Yahoo Finance (^DJI)
2001,10787.990234,10021.570312,-766.419922,-7.104381,Yahoo Finance (^DJI)
2002,10021.570312,8341.629883,-1679.940430,-16.763245,Yahoo Finance (^DJI)
2003,8341.629883,10453.919922,2112.290039,25.322270,Yahoo Finance (^DJI)
2004,10453.919922,10783.009766,329.089844,3.148004,Yahoo Finance (^DJI)
2005,10783.009766,10717.500000,-65.509766,-0.607528,Yahoo Finance (^DJI)
2006,10717.500000,12463.150391,1745.650391,16.287851,Yahoo Finance (^DJI)
2007,12463.150391,13264.820312,801.669922,6.432322,Yahoo Finance (^DJI)
2008,13264.820312,8776.389648,-4488.430664,-33.837101,Yahoo Finance (^DJI)
2009,8776.389648,10428.049805,1651.660156,18.819358,Yahoo Finance (^DJI)
2010,10428.049805,11577.509766,1149.459961,11.022770,Yahoo Finance (^DJI)
2011,11577.509766,12217.559570,640.049805,5.528389,Yahoo Finance (^DJI)
2012,12217.559570,13104.139648,886.580078,7.256605,Yahoo Finance (^DJI)
2013,13104.139648,16576.660156,3472.520508,26.499416,Yahoo Finance (^DJI)
2014,16576.660156,17823.070312,1246.410156,7.519067,Yahoo Finance (^DJI)
2015,17823.070312,17425.029297,-398.041016,-2.233291,Yahoo Finance (^DJI)
2016,17425.029297,19762.599609,2337.570312,13.415015,Yahoo Finance (^DJI)
2017,19762.599609,24719.220703,4956.621094,25.080815,Yahoo Finance (^DJI)
2018,24719.220703,23327.460938,-1391.759766,-5.630274,Yahoo Finance (^DJI)
2019,23327.460938,28538.439453,5210.978516,22.338387,Yahoo Finance (^DJI)
2020,28538.439453,30606.480469,2068.041016,7.246511,Yahoo Finance (^DJI)
2021,30606.480469,36338.300781,5731.820312,18.727473,Yahoo Finance (^DJI)
2022,36338.300781,33147.250000,-3191.050781,-8.781508,Yahoo Finance (^DJI)
2023,33147.250000,37689.539062,4542.289062,13.703366,Yahoo Finance (^DJI)
2024,37689.539062,42544.218750,4854.679688,12.880709,Yahoo Finance (^DJI)
2025,42544.218750,48063.289062,5519.070312,12.972551,Yahoo Finance (^DJI)
2026,48063.289062,51863.691406,3800.402344,7.907079,Yahoo Finance (^DJI)
